arch,classification,segmentation,#params,input shape height,input shape width,input shape depth,batch size,batch processing time,batch processing time std
LinkNet,0.0,1.0,11536426,32,32,1,10.0,0.06516721248626707,0.002110104770707903
LinkNet,0.0,1.0,11536426,64,64,1,10.0,0.12933430671691895,0.006342139047347597
LinkNet,0.0,1.0,11536426,128,128,1,10.0,0.3580468416213989,0.0040728990228738856
UNet,0.0,1.0,31118986,2,2,1,10.0,0.09970237414042156,0.0008506016934784173
UNet,0.0,1.0,31118986,4,4,1,10.0,0.0998783032099406,0.0006521042326176689
UNet,0.0,1.0,31118986,8,8,1,10.0,0.10133420626322427,0.0007114478999555149
UNet,0.0,1.0,31118986,16,16,1,10.0,0.11020137468973797,0.0005819828280455679
UNet,0.0,1.0,31118986,32,32,1,10.0,0.14816385904947918,0.0007864377324821175
UNet,0.0,1.0,31118986,64,64,1,10.0,0.3017024278640747,0.0019222950665369405
UNet,0.0,1.0,31118986,128,128,1,10.0,0.903971775372823,0.015223135354660609
VNet,0.0,1.0,14844234,150,150,1,10.0,0.9549606641133628,0.011380055215035037
VNet,0.0,1.0,14844234,200,200,1,10.0,1.6035047849019368,0.02586493357248607
VNet,0.0,1.0,14844234,224,224,1,10.0,1.9623283624649048,0.026506347743261358
FCN8,0.0,1.0,12546822,150,150,1,10.0,0.7069815079371135,0.00808113775980006
FCN8,0.0,1.0,12546822,200,200,1,10.0,1.225022021929423,0.0136890886239039
FCN8,0.0,1.0,12546822,224,224,1,10.0,1.5186522165934244,0.05428947509415094
FCN16,0.0,1.0,12562542,150,150,1,10.0,0.7188560803731282,0.011461995242816114
FCN16,0.0,1.0,12562542,200,200,1,10.0,1.3323413928349812,0.04368987703634602
FCN16,0.0,1.0,12562542,224,224,1,10.0,1.6681647936503092,0.03829767144134051
FCN32,0.0,1.0,13546802,150,150,1,10.0,0.7765863418579102,0.009298541501237512
FCN32,0.0,1.0,13546802,200,200,1,10.0,1.4671539386113486,0.5047859610528884
FCN32,0.0,1.0,13546802,224,224,1,10.0,1.5310468832651771,0.05533185965670647
LinkNet,0.0,1.0,11536426,150,150,1,10.0,0.5006843010584513,0.02308992013085214
LinkNet,0.0,1.0,11536426,200,200,1,10.0,0.836438266436259,0.03013604120704519
LinkNet,0.0,1.0,11536426,224,224,1,10.0,1.0445027430852254,0.02574928346422881
MobileNet,1.0,0.0,3766890,256,256,1,10.0,0.3086214542388916,0.001997652472441851
ResNet34,1.0,0.0,21290250,256,256,1,10.0,0.27687443097432457,0.001237980024925959
Inception_v1,1.0,0.0,6024858,256,256,1,10.0,0.18739124139149985,0.001223746702139529
Inception_v3,1.0,0.0,21822698,256,256,1,10.0,0.34394678274790447,0.0014901755047514833
Inception_v4,1.0,0.0,41564714,256,256,1,10.0,0.688295555114746,0.002993953316195051
SqueezeNet,1.0,0.0,4881374,256,256,1,10.0,0.2818832238515218,0.0005659306810866148
ResNet18,1.0,0.0,11178378,256,256,1,10.0,0.16441571712493896,0.0013047950792492663
